Date,Daily Mean Temperature,Daily Total Rainfall,Daily Total Sunshine,Daily Mean Windspeed,Daily Mean Windspeed (Beaufort),Daily Maximum Gust,Daily Maximum Relative Humidity,Daily Mean Total Cloud,Daily Mean Visibility,Daily Mean Pressure,Daily Mean Wind Direction,Mean Cardinal Direction,Daily Max Gust Direction,Max Cardinal Direction,Station,Year
09/09/1987,13.9,tr,3.8,10,Light,29,98,6,3700,1018,190,S,200,SSW,Camborne,1987
10/09/1987,15.2,tr,8.2,10,Light,24,89,6,4000,1017,240,WSW,260,W,Camborne,1987
11/09/1987,16.2,1.9,0.3,17,Fresh,46,98,7,2000,1011,180,S,170,S,Camborne,1987
12/09/1987,16.5,6,0,12,Moderate,38,98,8,1400,1008,230,SW,210,SSW,Camborne,1987
13/09/1987,14.3,0.3,1.7,2,Light,n/a,98,7,2500,1012,320,NW,320,NW,Camborne,1987
14/09/1987,14.3,tr,9.7,8,Light,25,94,4,3900,1019,200,SSW,260,W,Camborne,1987
15/09/1987,14.2,1,1.2,7,Light,20,94,7,3500,1023,170,S,170,S,Camborne,1987
16/09/1987,15.1,0.4,0.1,10,Light,22,97,8,1700,1020,100,E,100,E,Camborne,1987
17/09/1987,16.6,0.4,0.1,10,Light,23,100,8,500,1018,210,SSW,250,WSW,Camborne,1987
18/09/1987,15.5,2.5,9.1,7,Light,19,99,7,3100,1025,350,N,360,N,Camborne,1987
19/09/1987,16.3,0.3,4,10,Light,31,95,6,2000,1018,110,ESE,110,ESE,Camborne,1987
20/09/1987,15.9,0.1,0,8,Light,21,100,6,200,1013,210,SSW,NA,#N/A,Camborne,1987
21/09/1987,17.2,3.8,0.5,16,Moderate,33,97,8,700,1008,180,S,180,S,Camborne,1987
22/09/1987,14.2,4.2,8.8,9,Light,26,92,3,3200,1013,200,SSW,200,SSW,Camborne,1987
23/09/1987,14.6,2.9,4.9,10,Light,26,90,5,3100,1008,220,SW,220,SW,Camborne,1987
24/09/1987,13.6,0.2,8.7,9,Light,25,89,3,4500,1009,250,WSW,280,W,Camborne,1987
25/09/1987,10.6,0.2,9.6,6,Light,17,93,3,6000,1010,350,N,350,N,Camborne,1987
26/09/1987,10.2,0.1,8.7,7,Light,26,86,3,5500,1015,50,NE,360,N,Camborne,1987
27/09/1987,11.3,0,3.7,4,Light,13,89,5,4600,1025,60,ENE,350,N,Camborne,1987
